hole,tee_lat,tee_lon,green_front_lat,green_front_lon,green_center_lat,green_center_lon,green_back_lat,green_back_lon
1,32.75591,-96.706322,,,32.753458,-96.704316,,
2,32.753359,-96.704654,,,32.754681,-96.705303,,
3,32.754636,-96.705641,,,32.750363,-96.70438,,
4,32.749668,-96.7046,,,32.75002,-96.707926,,
5,32.750259,-96.708049,,,32.751207,-96.705158,,
6,32.751599,-96.705469,,,32.750174,-96.710179,,
7,32.750602,-96.71071,,,32.752136,-96.707212,,
8,32.752601,-96.707459,,,32.752272,-96.705957,,
9,32.752736,-96.70578,,,32.755502,-96.706708,,
10,32.756052,-96.708258,,,32.757938,-96.710485,,
11,32.758191,-96.710023,,,32.757103,-96.708848,,
12,32.757627,-96.708655,,,32.759314,-96.711037,,
13,32.759887,-96.711681,,,32.756255,-96.710672,,
14,32.755951,-96.709659,,,32.755351,-96.711104,,
15,32.755664,-96.7117,,,32.752064,-96.711608,,
16,32.752405,-96.711083,,,32.755353,-96.709519,,
17,32.755096,-96.70895,,,32.751888,-96.710168,,
18,32.752172,-96.70961,,,32.755592,-96.707759,,
