hole,tee_lat,tee_lon,green_front_lat,green_front_lon,green_center_lat,green_center_lon,green_back_lat,green_back_lon
1,32.986424,-96.686978,32.989185,-96.690388,32.989303,-96.690473,32.989422,-96.690546
2,32.990032,-96.690439,32.987896,-96.687895,32.987876,-96.687799,32.987848,-96.68771
3,32.988161,-96.687455,32.988937,-96.688743,32.989061,-96.688866,32.989169,-96.688961
4,32.990092,-96.690143,32.989786,-96.687016,32.989773,-96.686855,32.989762,-96.68673
5,32.989229,-96.686062,32.993794,-96.687081,32.993935,-96.687039,32.994063,-96.687006
6,32.994312,-96.687689,32.9949,-96.686195,32.994974,-96.686043,32.995036,-96.685914
7,32.995768,-96.685526,32.992354,-96.685376,32.992244,-96.68539,32.99214,-96.685412
8,32.992856,-96.685984,32.989363,-96.685527,32.989221,-96.685535,32.989093,-96.685556
9,32.989052,-96.685864,32.986184,-96.685292,32.986049,-96.685284,32.985904,-96.685293
10,32.985444,-96.68711,32.986822,-96.690063,32.986939,-96.690152,32.98704,-96.690232
11,32.986183,-96.690234,32.98862,-96.694282,32.988742,-96.694357,32.988857,-96.694426
12,32.989371,-96.694526,32.987581,-96.69135,32.987487,-96.691245,32.987403,-96.691154
13,32.988175,-96.691361,32.988884,-96.692455,32.988996,-96.692579,32.989095,-96.692693
14,32.989036,-96.692018,32.993831,-96.691615,32.993981,-96.691666,32.994118,-96.691702
15,32.993811,-96.691136,32.995057,-96.690033,32.99516,-96.68999,32.995227,-96.689934
16,32.994577,-96.689639,32.991606,-96.691137,32.991519,-96.691161,32.991436,-96.691191
17,32.991742,-96.690561,32.988399,-96.690778,32.988283,-96.690741,32.988157,-96.690701
18,32.987842,-96.690698,32.986159,-96.68745,32.986084,-96.687317,32.986016,-96.687217
